group_size, ncues, path_length, decision_time
6, 2, 576.431, 1299
6, 2, 575.954, 1284
6, 2, 571.537, 1283
6, 2, 555.372, 1238
6, 2, 562.345, 1254
6, 2, 564.416, 1260
6, 2, 562.868, 1263
6, 2, 565.015, 1256
6, 2, 575.31, 1298
6, 2, 569.947, 1272
6, 2, 561.843, 1249
6, 2, 566.85, 1264
6, 2, 560.868, 1253
6, 2, 566.253, 1262
6, 2, 559.706, 1250
6, 2, 562.63, 1251
6, 2, 580.617, 1303
6, 2, 552.646, 1225
6, 2, 555.413, 1231
6, 2, 555.217, 1240
6, 2, 573.805, 1283
6, 2, 563.08, 1252
6, 2, 546.045, 1225
6, 2, 552.711, 1237
6, 2, 569.105, 1270
6, 2, 556.869, 1245
6, 2, 559.33, 1251
6, 2, 561.528, 1266
6, 2, 568.816, 1272
6, 2, 557.911, 1235
6, 2, 563.752, 1281
6, 2, 554.212, 1245
6, 2, 567.629, 1271
6, 2, 552.292, 1230
6, 2, 559.008, 1248
6, 2, 561.284, 1246
6, 2, 564.148, 1256
6, 2, 575.441, 1295
6, 2, 567.947, 1271
6, 2, 573.262, 1291
6, 2, 573.059, 1279
6, 2, 556.277, 1238
6, 2, 568.738, 1273
6, 2, 566.107, 1265
6, 2, 569.203, 1275
6, 2, 554.117, 1236
6, 2, 575.174, 1289
6, 2, 554.364, 1246
6, 2, 574.566, 1290
6, 2, 559.894, 1247
6, 2, 572.728, 1282
6, 2, 559.271, 1251
6, 2, 562.421, 1255
6, 2, 771.745, 1894
6, 2, 560.913, 1246
6, 2, 554.979, 1240
6, 2, 571.046, 1280
6, 2, 558.039, 1237
6, 2, 558.903, 1239
6, 2, 565.913, 1264
6, 2, 568.335, 1269
6, 2, 558.067, 1244
6, 2, 555.804, 1246
6, 2, 566.842, 1273
6, 2, 579.524, 1302
6, 2, 566.548, 1266
6, 2, 568.427, 1268
6, 2, 564.397, 1258
6, 2, 555.176, 1239
6, 2, 567.823, 1268
6, 2, 587.849, 1335
6, 2, 565.576, 1264
6, 2, 552.389, 1231
6, 2, 556.519, 1238
6, 2, 569.852, 1280
6, 2, 574.528, 1284
6, 2, 559.852, 1246
6, 2, 564.755, 1259
6, 2, 565.991, 1262
6, 2, 562.86, 1254
6, 2, 553.507, 1248
6, 2, 573.619, 1278
6, 2, 566.697, 1268
6, 2, 589.662, 1338
6, 2, 564.362, 1256
6, 2, 570.788, 1280
6, 2, 564.811, 1266
6, 2, 566.22, 1265
6, 2, 558.246, 1234
6, 2, 558.057, 1243
6, 2, 566.905, 1272
6, 2, 569.925, 1278
6, 2, 568.326, 1271
6, 2, 559.198, 1241
6, 2, 566.389, 1261
6, 2, 557.482, 1251
6, 2, 562.034, 1249
6, 2, 567.935, 1265
6, 2, 560.389, 1249
6, 2, 551.1, 1227
6, 2, 557.653, 1247
6, 2, 573.487, 1282
6, 2, 565.486, 1269
6, 2, 574.57, 1291
6, 2, 554.894, 1241
6, 2, 566.592, 1262
6, 2, 558.974, 1253
6, 2, 565.746, 1257
6, 2, 565.928, 1266
6, 2, 562.107, 1261
6, 2, 568.655, 1273
6, 2, 558.6, 1247
6, 2, 560.992, 1246
6, 2, 566.724, 1269
6, 2, 561.215, 1250
6, 2, 569.199, 1284
6, 2, 557.371, 1245
6, 2, 556.756, 1245
6, 2, 576.375, 1302
6, 2, 569.52, 1278
6, 2, 566.083, 1260
6, 2, 559.767, 1252
6, 2, 549.704, 1220
6, 2, 562.605, 1268
6, 2, 572.385, 1289
6, 2, 578.802, 1299
6, 2, 570.545, 1269
6, 2, 566.737, 1268
6, 2, 567.796, 1264
6, 2, 568.783, 1267
6, 2, 570.813, 1280
6, 2, 566.237, 1271
